iter	Passed	Remaining
0	248	248094
1	295	147365
2	340	113101
3	387	96409
4	433	86311
5	482	79924
6	525	74612
7	574	71176
8	620	68322
9	665	65853
10	713	64173
11	760	62596
12	805	61192
13	849	59850
14	897	58916
15	948	58336
16	993	57440
17	1060	57868
18	1109	57291
19	1148	56261
20	1198	55889
21	1245	55372
22	1290	54823
23	1337	54374
24	1384	54014
25	1457	54590
26	1525	54985
27	1600	55564
28	1646	55131
29	1678	54276
30	1726	53973
31	1773	53642
32	1821	53380
33	1867	53060
34	1926	53117
35	1963	52569
36	2005	52191
37	2056	52057
38	2108	51954
39	2159	51831
40	2202	51512
41	2246	51252
42	2300	51191
43	2360	51281
44	2395	50844
45	2439	50586
46	2489	50469
47	2530	50193
48	2565	49786
49	2612	49637
50	2659	49486
51	2718	49553
52	2749	49132
53	2794	48959
54	2827	48586
55	2890	48725
56	2924	48381
57	2972	48276
58	3019	48157
59	3064	48009
60	3123	48084
61	3201	48432
62	3235	48121
63	3289	48103
64	3353	48235
65	3391	47989
66	3461	48202
67	3485	47773
68	3525	47569
69	3563	47347
70	3609	47230
71	3657	47143
72	3698	46967
73	3710	46428
74	3755	46319
75	3799	46189
76	3841	46042
77	3872	45775
78	3909	45580
79	3950	45430
80	3996	45341
81	4033	45151
82	4079	45068
83	4135	45099
84	4196	45170
85	4233	44995
86	4271	44826
87	4311	44687
88	4357	44601
89	4415	44649
90	4455	44508
91	4515	44561
92	4572	44597
93	4608	44418
94	4656	44360
95	4698	44242
96	4751	44235
97	4794	44126
98	4827	43934
99	4861	43756
100	4908	43687
101	4966	43722
102	5002	43569
103	5054	43547
104	5098	43458
105	5145	43400
106	5194	43349
107	5240	43281
108	5282	43182
109	5315	43006
110	5378	43080
111	5429	43051
112	5467	42916
113	5502	42767
114	5535	42600
115	5571	42457
116	5628	42474
117	5668	42373
118	5713	42297
119	5751	42175
120	5791	42074
121	5837	42014
122	5882	41944
123	5932	41911
124	5985	41897
125	6026	41799
126	6085	41834
127	6134	41790
128	6182	41746
129	6228	41682
130	6271	41599
131	6306	41467
132	6353	41418
133	6400	41365
134	6446	41303
135	6493	41255
136	6539	41194
137	6597	41211
138	6632	41086
139	6679	41033
140	6729	40999
141	6799	41085
142	6838	40985
143	6885	40931
144	6931	40872
145	6990	40887
146	7025	40769
147	7088	40805
148	7133	40742
149	7179	40681
150	7225	40623
151	7272	40570
152	7333	40596
153	7380	40546
154	7423	40472
155	7486	40501
156	7523	40396
157	7569	40339
158	7615	40281
159	7658	40207
160	7693	40094
161	7741	40046
162	7789	39998
163	7833	39934
